chunk_id,it_id,reassign_count,sse
0,0,35014,11438.151182
0,1,1970,9911.476349
0,2,105,9892.895325
0,3,5,9892.849239
0,4,3,9892.849180
0,5,1,9892.849162
1,0,81611,16706.046474
1,1,11799,13441.115737
1,2,8454,13328.960755
1,3,17438,13213.252234
1,4,20518,12633.829533
1,5,4012,11721.583565
1,6,679,11659.342688
1,7,346,11658.705713
1,8,271,11658.510744
1,9,245,11658.393677
1,10,195,11658.297890
1,11,181,11658.217184
1,12,150,11658.148806
1,13,134,11658.099676
1,14,132,11658.064706
1,15,129,11658.029900
1,16,155,11657.994070
1,17,168,11657.946486
1,18,165,11657.891660
1,19,164,11657.837406
1,20,142,11657.788499
1,21,152,11657.750684
1,22,154,11657.704788
1,23,168,11657.657509
1,24,196,11657.602177
1,25,196,11657.530084
1,26,211,11657.450744
1,27,252,11657.356185
1,28,263,11657.230932
1,29,287,11657.085731
1,30,295,11656.932624
1,31,299,11656.765792
1,32,274,11656.571601
1,33,286,11656.414468
1,34,328,11656.254544
1,35,338,11656.056638
1,36,309,11655.839195
1,37,280,11655.628288
1,38,321,11655.451298
1,39,329,11655.243648
1,40,321,11655.025595
1,41,342,11654.781894
1,42,356,11654.528260
1,43,342,11654.254315
1,44,316,11654.019911
1,45,359,11653.815777
1,46,315,11653.585197
1,47,308,11653.375500
1,48,315,11653.172879
1,49,297,11652.993643
1,50,292,11652.826383
1,51,320,11652.655741
1,52,335,11652.452060
1,53,373,11652.233531
1,54,358,11651.948863
1,55,339,11651.689949
1,56,315,11651.456077
1,57,291,11651.248460
1,58,245,11651.068408
1,59,227,11650.941718
1,60,225,11650.832006
1,61,212,11650.718495
1,62,184,11650.621689
1,63,158,11650.552792
1,64,141,11650.502033
1,65,132,11650.453867
1,66,128,11650.415776
1,67,128,11650.380830
1,68,117,11650.348205
1,69,97,11650.318505
1,70,82,11650.300432
1,71,69,11650.286806
1,72,71,11650.275448
1,73,84,11650.262791
1,74,88,11650.244943
1,75,90,11650.227644
1,76,93,11650.211007
1,77,88,11650.193904
1,78,70,11650.180544
1,79,64,11650.170226
1,80,61,11650.161759
1,81,46,11650.154963
1,82,40,11650.151043
1,83,40,11650.148071
1,84,42,11650.144184
1,85,45,11650.140926
1,86,43,11650.136702
1,87,45,11650.132810
1,88,38,11650.129050
1,89,26,11650.125868
1,90,18,11650.124568
1,91,18,11650.123482
1,92,17,11650.122803
1,93,16,11650.122313
1,94,16,11650.121801
1,95,21,11650.121117
1,96,22,11650.120101
1,97,19,11650.119126
1,98,24,11650.118208
1,99,27,11650.117188
1,100,21,11650.115914
1,101,25,11650.114891
1,102,19,11650.113919
1,103,19,11650.112775
1,104,20,11650.112098
1,105,29,11650.111271
1,106,27,11650.109690
1,107,26,11650.107597
1,108,29,11650.105988
1,109,21,11650.104192
1,110,23,11650.102851
1,111,21,11650.101662
1,112,16,11650.100380
1,113,15,11650.099678
1,114,16,11650.099052
1,115,14,11650.098471
1,116,3,11650.098080
1,117,3,11650.098041
1,118,2,11650.098027
1,119,2,11650.097998
1,120,3,11650.097972
1,121,4,11650.097941
1,122,2,11650.097911
