
-0.2,13421800,1342180,10,10,360.000,9,227.310250,0,0.000009,6.424592,3.548935,1.023815,0.208865,{
				0,94;2294;96.238602;240.003943;164.778444;107.314156;0.3487
				1,0;0;0.000000;0.000000;-nan;0.000000;-nan
				2,0;0;0.000000;0.000000;-nan;0.000000;-nan
				3,0;0;0.000000;0.000000;-nan;0.000000;-nan
				4,0;0;0.000000;0.000000;-nan;0.000000;-nan
				5,0;0;0.000000;0.000000;-nan;0.000000;-nan
				6,0;0;0.000000;0.000000;-nan;0.000000;-nan
				7,0;0;0.000000;0.000000;-nan;0.000000;-nan
				8,0;0;0.000000;0.000000;-nan;0.000000;-nan
				9,0;0;0.000000;0.000000;-nan;0.000000;-nan
				10,0;0;0.000000;0.000000;-nan;0.000000;-nan
}
-0.2,13421800,1342180,10,10,360.000,9,192.093162,0,0.000009,5.630798,3.529981,1.043113,0.215800,{
				0,56;2294;58.414315;236.590813;166.886607;68.683938;0.5884
				1,0;0;0.000000;0.000000;-nan;0.000000;-nan
				2,0;0;0.000000;0.000000;-nan;0.000000;-nan
				3,0;0;0.000000;0.000000;-nan;0.000000;-nan
				4,0;0;0.000000;0.000000;-nan;0.000000;-nan
				5,0;0;0.000000;0.000000;-nan;0.000000;-nan
				6,0;0;0.000000;0.000000;-nan;0.000000;-nan
				7,0;0;0.000000;0.000000;-nan;0.000000;-nan
				8,0;0;0.000000;0.000000;-nan;0.000000;-nan
				9,0;0;0.000000;0.000000;-nan;0.000000;-nan
				10,0;0;0.000000;0.000000;-nan;0.000000;-nan
}
-0.2,13421800,1342180,10,10,360.000,9,230.789855,0,0.000010,6.588165,3.548040,1.029986,0.209408,{
				0,89;2294;91.668786;232.118277;165.873553;102.908092;0.3796
				1,0;0;0.000000;0.000000;-nan;0.000000;-nan
				2,0;0;0.000000;0.000000;-nan;0.000000;-nan
				3,0;0;0.000000;0.000000;-nan;0.000000;-nan
				4,0;0;0.000000;0.000000;-nan;0.000000;-nan
				5,0;0;0.000000;0.000000;-nan;0.000000;-nan
				6,0;0;0.000000;0.000000;-nan;0.000000;-nan
				7,0;0;0.000000;0.000000;-nan;0.000000;-nan
				8,0;0;0.000000;0.000000;-nan;0.000000;-nan
				9,0;0;0.000000;0.000000;-nan;0.000000;-nan
				10,0;0;0.000000;0.000000;-nan;0.000000;-nan
}
-0.2,13421800,1342180,10,10,360.000,9,137.094609,0,0.000002,5.605156,3.528530,1.071175,0.208491,{
				0,93;2294;99.619265;332.761237;171.089586;109.855810;0.3579
				1,0;0;0.000000;0.000000;inf;0.000000;-nan
				2,0;0;0.000000;0.000000;inf;0.000000;-nan
				3,0;0;0.000000;0.000000;inf;0.000000;-nan
				4,0;0;0.000000;0.000000;inf;0.000000;-nan
				5,0;0;0.000000;0.000000;inf;0.000000;-nan
				6,0;0;0.000000;0.000000;inf;0.000000;-nan
				7,0;0;0.000000;0.000000;inf;0.000000;-nan
				8,0;0;0.000000;0.000000;inf;0.000000;-nan
				9,0;0;0.000000;0.000000;inf;0.000000;-nan
				10,0;0;0.000000;0.000000;inf;0.000000;-nan
}
-0.2,13421800,1342180,10,10,360.000,9,154.598289,0,0.000003,5.486561,3.546133,1.062928,0.209890,{
				0,101;2294;107.355706;322.905245;169.744679;117.503496;0.3078
				1,0;0;0.000000;0.000000;inf;0.000000;-nan
