dataset,N,M,dim,k,partiel_chunks_iterations+final_chunk_iterations 

0.5,13421800,3355450,10,10,1 + 1 + 1 + 1 + 1
0.5,13421800,3355450,10,10,1 + 1 + 1 + 1 + 1
0.5,13421800,3355450,10,10,1 + 2 + 1 + 1 + 1
0.5,13421800,3355450,10,10,1 + 2 + 1 + 1 + 1
0.5,13421800,3355450,10,10,1 + 2 + 1 + 2 + 1
0.5,13421800,3355450,10,10,1 + 2 + 1 + 1 + 1
0.5,13421800,3355450,10,10,1 + 1 + 1 + 1 + 1
0.5,13421800,3355450,10,10,1 + 1 + 1 + 1 + 1
0.5,13421800,3355450,10,10,1 + 2 + 2 + 2 + 1
0.5,13421800,3355450,10,10,1 + 1 + 71 + 1 + 1
0.5,13421800,3355450,10,10,1 + 1 + 2 + 2 + 1
0.5,13421800,3355450,10,10,1 + 1 + 1 + 1 + 1
0.5,13421800,3355450,10,10,1 + 1 + 2 + 1 + 2
0.5,13421800,3355450,10,10,1 + 1 + 2 + 1 + 1
0.5,13421800,3355450,10,10,1 + 1 + 1 + 1 + 1

0.4,13421800,3355450,10,10,82 + 3 + 4 + 150 + 150
0.4,13421800,3355450,10,10,150 + 150 + 3 + 102 + 150
0.4,13421800,3355450,10,10,150 + 150 + 4 + 150 + 3
0.4,13421800,3355450,10,10,4 + 150 + 150 + 150 + 150
0.4,13421800,3355450,10,10,150 + 126 + 150 + 74 + 150
0.4,13421800,3355450,10,10,150 + 3 + 150 + 150 + 150
0.4,13421800,3355450,10,10,4 + 150 + 150 + 150 + 4
0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 4
0.4,13421800,3355450,10,10,5 + 150 + 4 + 150 + 150
0.4,13421800,3355450,10,10,150 + 150 + 150 + 4 + 150
0.4,13421800,3355450,10,10,150 + 4 + 4 + 4 + 126
0.4,13421800,3355450,10,10,101 + 2 + 129 + 150 + 4
0.4,13421800,3355450,10,10,4 + 150 + 150 + 4 + 150
0.4,13421800,3355450,10,10,5 + 150 + 4 + 150 + 2
0.4,13421800,3355450,10,10,150 + 150 + 6 + 147 + 2
0.4,13421800,3355450,10,10,5 + 5 + 150 + 150 + 150
0.4,13421800,3355450,10,10,3 + 150 + 6 + 3 + 150

0.3,13421800,3355450,10,10,49 + 32 + 30 + 29 + 7
0.3,13421800,3355450,10,10,41 + 107 + 34 + 35 + 45
0.3,13421800,3355450,10,10,54 + 54 + 56 + 150 + 4
0.3,13421800,3355450,10,10,3 + 39 + 51 + 65 + 4
0.3,13421800,3355450,10,10,38 + 84 + 57 + 43 + 40
0.3,13421800,3355450,10,10,113 + 70 + 48 + 150 + 32
0.3,13421800,3355450,10,10,69 + 5 + 59 + 150 + 5
0.3,13421800,3355450,10,10,35 + 45 + 31 + 75 + 150
0.3,13421800,3355450,10,10,25 + 39 + 33 + 58 + 150
0.3,13421800,3355450,10,10,6 + 40 + 5 + 114 + 56
0.3,13421800,3355450,10,10,150 + 51 + 56 + 150 + 150
0.3,13421800,3355450,10,10,54 + 150 + 35 + 31 + 45
0.3,13421800,3355450,10,10,93 + 5 + 75 + 48 + 82
0.3,13421800,3355450,10,10,4 + 4 + 29 + 56 + 35
0.3,13421800,3355450,10,10,44 + 50 + 75 + 46 + 150

0.2,13421800,3355450,10,10,9 + 27 + 27 + 24 + 25
0.2,13421800,3355450,10,10,36 + 28 + 81 + 16 + 29
0.2,13421800,3355450,10,10,150 + 23 + 26 + 8 + 110
0.2,13421800,3355450,10,10,32 + 24 + 88 + 27 + 24
0.2,13421800,3355450,10,10,36 + 47 + 100 + 30 + 29
0.2,13421800,3355450,10,10,11 + 81 + 140 + 25 + 11
0.2,13421800,3355450,10,10,9 + 7 + 29 + 150 + 32
0.2,13421800,3355450,10,10,23 + 18 + 60 + 28 + 83
0.2,13421800,3355450,10,10,15 + 76 + 93 + 8 + 23
0.2,13421800,3355450,10,10,25 + 21 + 42 + 26 + 23
0.2,13421800,3355450,10,10,23 + 27 + 19 + 95 + 34
0.2,13421800,3355450,10,10,136 + 8 + 25 + 27 + 10
0.2,13421800,3355450,10,10,150 + 86 + 22 + 104 + 10
0.2,13421800,3355450,10,10,24 + 9 + 32 + 15 + 108
0.2,13421800,3355450,10,10,29 + 13 + 27 + 13 + 33

0.1,13421800,3355450,10,10,23 + 44 + 16 + 40 + 19
0.1,13421800,3355450,10,10,51 + 150 + 150 + 15 + 28
0.1,13421800,3355450,10,10,16 + 19 + 83 + 24 + 14
0.1,13421800,3355450,10,10,21 + 17 + 17 + 13 + 10
0.1,13421800,3355450,10,10,16 + 18 + 21 + 21 + 13
0.1,13421800,3355450,10,10,45 + 35 + 45 + 24 + 27
0.1,13421800,3355450,10,10,63 + 25 + 24 + 16 + 26
