AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Nb_pflts,Read_Kbps,Write_Kbps
1673575227738,1,1,0,-1,2900000
1673575256910,1,1,1,-1,2900000
1673575256940,1,2,0,0,2900000
1673575274027,1,2,1,1,2900000
1673575293143,1,3,1,1,2900000
1673575742881,1,4,1,101,2900000
1673575743907,1,5,1,1,2900000
1673575760538,1,2,2,1,2900000
1673575779211,1,3,2,1,2900000
1673575880921,1,4,2,21,2900000
1673575881930,1,5,2,1,2900000
1673575881941,2,1,0,0,2900000
1673575881958,2,1,1,20,2900000
1673575881972,2,2,0,0,2900000
1673575882295,2,2,1,13,2900000
1673575882306,3,1,0,-1,2900000
1673575923648,3,1,1,-1,2900000
1673575923702,4,1,0,-1,2900000
1673575945232,4,1,1,-1,2900000
1673575945246,4,2,0,0,2900000
1673576067007,4,2,1,25,2900000
1673575226885,*,*,*,*,1155224,,,,,,,
1673575226885,*,*,*,*,*,15.8,2224,0,0,0,89834.35,0.00
1673575227045,*,*,*,*,849987,,,,,,,
1673575227232,*,*,*,*,2273246,,,,,,,
1673575227439,*,*,*,*,2080805,,,,,,,
1673575227642,*,*,*,*,1021749,,,,,,,
1673575227836,*,*,*,*,1207011,,,,,,,
1673575228039,*,*,*,*,2068304,,,,,,,
1673575228245,*,*,*,*,800118,,,,,,,
1673575228452,*,*,*,*,846149,,,,,,,
1673575228643,*,*,*,*,1659298,,,,,,,
1673575228849,*,*,*,*,837342,,,,,,,
1673575229037,*,*,*,*,1321915,,,,,,,
1673575229244,*,*,*,*,1626351,,,,,,,
1673575229444,*,*,*,*,807194,,,,,,,
1673575229645,*,*,*,*,798403,,,,,,,
1673575229845,*,*,*,*,1343427,,,,,,,
1673575230044,*,*,*,*,1071284,,,,,,,
1673575230245,*,*,*,*,798187,,,,,,,
1673575230435,*,*,*,*,1425484,,,,,,,
1673575230645,*,*,*,*,801473,,,,,,,
1673575230845,*,*,*,*,810421,,,,,,,
1673575231031,*,*,*,*,1762966,,,,,,,
1673575231244,*,*,*,*,949316,,,,,,,
1673575231445,*,*,*,*,798589,,,,,,,
1673575231632,*,*,*,*,1083310,,,,,,,
1673575231845,*,*,*,*,947726,,,,,,,
1673575232046,*,*,*,*,964838,,,,,,,
1673575232233,*,*,*,*,1216364,,,,,,,
1673575232445,*,*,*,*,1036164,,,,,,,
1673575232645,*,*,*,*,806937,,,,,,,
1673575232834,*,*,*,*,1108008,,,,,,,
1673575233043,*,*,*,*,1811561,,,,,,,
1673575233250,*,*,*,*,809095,,,,,,,
1673575233272,*,*,*,*,*,27.7,2224,0,0,0,103249.27,0.00
1673575233438,*,*,*,*,901418,,,,,,,
1673575233645,*,*,*,*,1301779,,,,,,,
1673575233850,*,*,*,*,819366,,,,,,,
1673575234040,*,*,*,*,913424,,,,,,,
1673575234243,*,*,*,*,1417497,,,,,,,
1673575234445,*,*,*,*,807088,,,,,,,
1673575234632,*,*,*,*,2141784,,,,,,,
1673575234845,*,*,*,*,1232652,,,,,,,
1673575235045,*,*,*,*,1287693,,,,,,,
1673575235245,*,*,*,*,798174,,,,,,,
1673575235432,*,*,*,*,1535368,,,,,,,
1673575235651,*,*,*,*,812769,,,,,,,
1673575235652,*,*,*,*,*,22.8,2224,0,0,0,93142.04,0.00
1673575235846,*,*,*,*,985940,,,,,,,
1673575236030,*,*,*,*,1558712,,,,,,,
1673575236233,*,*,*,*,1830989,,,,,,,
1673575236445,*,*,*,*,1076056,,,,,,,
1673575236632,*,*,*,*,1218821,,,,,,,
1673575236846,*,*,*,*,891009,,,,,,,
1673575237034,*,*,*,*,1652292,,,,,,,
1673575237233,*,*,*,*,1052867,,,,,,,
1673575237440,*,*,*,*,1159635,,,,,,,
1673575237645,*,*,*,*,837486,,,,,,,
1673575237836,*,*,*,*,946552,,,,,,,
1673575237989,*,*,*,*,*,17.0,2224,0,0,0,11116.11,0.00
1673575238038,*,*,*,*,1878267,,,,,,,
1673575238245,*,*,*,*,812464,,,,,,,
1673575238454,*,*,*,*,1061116,,,,,,,
1673575238646,*,*,*,*,2389706,,,,,,,
1673575238834,*,*,*,*,2546563,,,,,,,
1673575239047,*,*,*,*,1764649,,,,,,,
1673575239241,*,*,*,*,1429571,,,,,,,
1673575239454,*,*,*,*,991408,,,,,,,
1673575239644,*,*,*,*,1281051,,,,,,,
1673575239832,*,*,*,*,1643862,,,,,,,
1673575240033,*,*,*,*,2199525,,,,,,,
1673575240244,*,*,*,*,1332212,,,,,,,
1673575240338,*,*,*,*,*,29.0,2224,0,0,0,95700.33,0.00
1673575240432,*,*,*,*,1149658,,,,,,,
1673575240645,*,*,*,*,921694,,,,,,,
1673575240845,*,*,*,*,831705,,,,,,,
1673575241030,*,*,*,*,2266545,,,,,,,
1673575241245,*,*,*,*,978099,,,,,,,
1673575241444,*,*,*,*,806673,,,,,,,
1673575241636,*,*,*,*,1206878,,,,,,,
1673575241843,*,*,*,*,1130576,,,,,,,
1673575242044,*,*,*,*,1132585,,,,,,,
1673575242244,*,*,*,*,825371,,,,,,,
1673575242432,*,*,*,*,1274477,,,,,,,
1673575242646,*,*,*,*,906172,,,,,,,
1673575242694,*,*,*,*,*,29.0,2224,0,0,0,94554.77,0.00
1673575242840,*,*,*,*,1064917,,,,,,,
1673575243031,*,*,*,*,2060360,,,,,,,
1673575243245,*,*,*,*,950391,,,,,,,
1673575243445,*,*,*,*,803581,,,,,,,
1673575243632,*,*,*,*,1218455,,,,,,,
1673575243845,*,*,*,*,976596,,,,,,,
1673575244032,*,*,*,*,1482617,,,,,,,
1673575244233,*,*,*,*,1099884,,,,,,,
1673575244446,*,*,*,*,1066511,,,,,,,
1673575244641,*,*,*,*,1030020,,,,,,,
1673575244835,*,*,*,*,1119374,,,,,,,
1673575245030,*,*,*,*,*,32.0,2224,0,0,0,89133.31,0.00
1673575245044,*,*,*,*,1993254,,,,,,,
1673575245245,*,*,*,*,1087201,,,,,,,
1673575245494,*,*,*,*,1136510,,,,,,,
1673575245644,*,*,*,*,1839415,,,,,,,
1673575245845,*,*,*,*,806239,,,,,,,
1673575246044,*,*,*,*,853191,,,,,,,
1673575246242,*,*,*,*,1560928,,,,,,,
1673575246432,*,*,*,*,1541267,,,,,,,
1673575246634,*,*,*,*,1385140,,,,,,,
1673575246835,*,*,*,*,1759618,,,,,,,
1673575247035,*,*,*,*,1531530,,,,,,,
1673575247234,*,*,*,*,1522852,,,,,,,
1673575247405,*,*,*,*,*,32.0,2224,0,0,0,95914.08,0.00
1673575247447,*,*,*,*,1326862,,,,,,,
1673575247639,*,*,*,*,1111462,,,,,,,
1673575247836,*,*,*,*,1222108,,,,,,,
1673575248034,*,*,*,*,2031273,,,,,,,
1673575248244,*,*,*,*,882945,,,,,,,
1673575248439,*,*,*,*,885715,,,,,,,
1673575248653,*,*,*,*,1397806,,,,,,,
1673575248836,*,*,*,*,1710685,,,,,,,
1673575249039,*,*,*,*,1060574,,,,,,,
1673575249245,*,*,*,*,1520017,,,,,,,
1673575249445,*,*,*,*,806095,,,,,,,
1673575249645,*,*,*,*,798176,,,,,,,
1673575249771,*,*,*,*,*,30.0,2224,0,0,0,97682.08,0.00
1673575249834,*,*,*,*,1529429,,,,,,,
1673575250045,*,*,*,*,1372519,,,,,,,
1673575250245,*,*,*,*,802526,,,,,,,
1673575250436,*,*,*,*,932224,,,,,,,
1673575250645,*,*,*,*,809804,,,,,,,
1673575250845,*,*,*,*,809647,,,,,,,
1673575251033,*,*,*,*,1950352,,,,,,,
1673575251245,*,*,*,*,1040113,,,,,,,
1673575251445,*,*,*,*,807709,,,,,,,
1673575251631,*,*,*,*,1150912,,,,,,,
1673575251846,*,*,*,*,1079005,,,,,,,
1673575252037,*,*,*,*,1368224,,,,,,,
1673575252077,*,*,*,*,*,34.0,2224,0,0,0,98901.30,0.00
1673575252233,*,*,*,*,1239505,,,,,,,
1673575252445,*,*,*,*,1107445,,,,,,,
1673575252645,*,*,*,*,808998,,,,,,,
1673575252836,*,*,*,*,1032013,,,,,,,
1673575253031,*,*,*,*,2132780,,,,,,,
1673575253241,*,*,*,*,1095310,,,,,,,
1673575253431,*,*,*,*,2222690,,,,,,,
1673575253640,*,*,*,*,1257304,,,,,,,
1673575253845,*,*,*,*,797911,,,,,,,
1673575254032,*,*,*,*,1634282,,,,,,,
1673575254239,*,*,*,*,1514565,,,,,,,
1673575254453,*,*,*,*,812275,,,,,,,
1673575254461,*,*,*,*,*,34.0,2224,0,0,0,89960.20,0.00
1673575254636,*,*,*,*,968730,,,,,,,
1673575254839,*,*,*,*,1472433,,,,,,,
1673575255045,*,*,*,*,1257990,,,,,,,
1673575255241,*,*,*,*,875035,,,,,,,
1673575255444,*,*,*,*,1532599,,,,,,,
1673575255646,*,*,*,*,802468,,,,,,,
1673575256603,*,*,*,*,1257334,,,,,,,
1673575256620,*,*,*,*,1631166,,,,,,,
1673575256637,*,*,*,*,1442544,,,,,,,
1673575256657,*,*,*,*,1289321,,,,,,,
1673575256673,*,*,*,*,1562198,,,,,,,
1673575256822,*,*,*,*,*,100.0,34328,0,0,0,70289.88,0.00
1673575256845,*,*,*,*,1218130,,,,,,,
1673575257030,*,*,*,*,2140537,,,,,,,
1673575257230,*,*,*,*,2783830,,,,,,,
1673575257430,*,*,*,*,2879922,,,,,,,
1673575257630,*,*,*,*,2881327,,,,,,,
1673575257830,*,*,*,*,2873668,,,,,,,
1673575258033,*,*,*,*,2833103,,,,,,,
1673575258230,*,*,*,*,2821490,,,,,,,
1673575258430,*,*,*,*,2874980,,,,,,,
1673575258630,*,*,*,*,2879314,,,,,,,
1673575258830,*,*,*,*,2879914,,,,,,,
1673575259030,*,*,*,*,2829823,,,,,,,
1673575259112,*,*,*,*,*,98.0,106136,0,0,0,65435.78,0.00
1673575259230,*,*,*,*,2847801,,,,,,,
1673575259430,*,*,*,*,2879837,,,,,,,
1673575259630,*,*,*,*,2877101,,,,,,,
1673575259830,*,*,*,*,2879304,,,,,,,
1673575260030,*,*,*,*,2872630,,,,,,,
1673575260230,*,*,*,*,2878429,,,,,,,
1673575260430,*,*,*,*,2808417,,,,,,,
1673575260630,*,*,*,*,2756619,,,,,,,
1673575260830,*,*,*,*,2873115,,,,,,,
1673575261030,*,*,*,*,2848067,,,,,,,
1673575261230,*,*,*,*,2809058,,,,,,,
1673575261369,*,*,*,*,*,99.0,176096,0,0,0,70163.40,0.00
1673575261430,*,*,*,*,2831996,,,,,,,
1673575261630,*,*,*,*,2880423,,,,,,,
1673575261830,*,*,*,*,2841325,,,,,,,
1673575262030,*,*,*,*,2852828,,,,,,,
1673575262230,*,*,*,*,2877882,,,,,,,
1673575262430,*,*,*,*,2850183,,,,,,,
1673575262629,*,*,*,*,2806112,,,,,,,
1673575262830,*,*,*,*,2869839,,,,,,,
1673575263030,*,*,*,*,2855471,,,,,,,
1673575263230,*,*,*,*,2874596,,,,,,,
1673575263430,*,*,*,*,2880830,,,,,,,
1673575263628,*,*,*,*,*,95.0,246320,0,0,0,66449.42,0.00
1673575263632,*,*,*,*,2811371,,,,,,,
1673575263830,*,*,*,*,2862680,,,,,,,
1673575264030,*,*,*,*,2852408,,,,,,,
1673575264230,*,*,*,*,2865920,,,,,,,
1673575264430,*,*,*,*,2865177,,,,,,,
1673575264630,*,*,*,*,2868012,,,,,,,
1673575264833,*,*,*,*,2801117,,,,,,,
1673575265030,*,*,*,*,2821275,,,,,,,
1673575265230,*,*,*,*,2873590,,,,,,,
1673575265430,*,*,*,*,2871214,,,,,,,
1673575265631,*,*,*,*,2843930,,,,,,,
1673575265830,*,*,*,*,2865337,,,,,,,
1673575265901,*,*,*,*,*,96.0,312848,0,0,0,68882.39,0.00
1673575266030,*,*,*,*,2841570,,,,,,,
1673575266230,*,*,*,*,2867318,,,,,,,
1673575266430,*,*,*,*,2880467,,,,,,,
1673575266630,*,*,*,*,2874191,,,,,,,
1673575266830,*,*,*,*,2871347,,,,,,,
1673575267030,*,*,*,*,2865675,,,,,,,
1673575267230,*,*,*,*,2845019,,,,,,,
1673575267430,*,*,*,*,2871530,,,,,,,
1673575267630,*,*,*,*,2880063,,,,,,,
1673575267830,*,*,*,*,2865757,,,,,,,
1673575268030,*,*,*,*,2865154,,,,,,,
1673575268157,*,*,*,*,*,97.0,382280,0,0,0,70929.18,0.00
1673575268230,*,*,*,*,2840407,,,,,,,
1673575268431,*,*,*,*,2873948,,,,,,,
1673575268630,*,*,*,*,2875235,,,,,,,
1673575268830,*,*,*,*,2875754,,,,,,,
1673575269030,*,*,*,*,2865553,,,,,,,
1673575269230,*,*,*,*,2878673,,,,,,,
1673575269430,*,*,*,*,2796895,,,,,,,
1673575269630,*,*,*,*,2869717,,,,,,,
1673575269830,*,*,*,*,2878983,,,,,,,
1673575270030,*,*,*,*,2874066,,,,,,,
1673575270230,*,*,*,*,2874990,,,,,,,
1673575270413,*,*,*,*,*,85.0,448808,0,0,0,70929.15,0.00
1673575270433,*,*,*,*,2853059,,,,,,,
1673575270630,*,*,*,*,2879003,,,,,,,
1673575270830,*,*,*,*,2875525,,,,,,,
1673575271030,*,*,*,*,2862321,,,,,,,
1673575271230,*,*,*,*,2373948,,,,,,,
1673575271430,*,*,*,*,2845218,,,,,,,
