AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Temperature,Read_Kbps,Write_Kbps
1676837608955,*,*,*,*,1467101,,,,,,,
1676837608996,*,*,*,*,*,0.0,1.9m,0:00:00,0,44000,88523.40,
1676837609099,*,*,*,*,1433873,,,,,,,
1676837609310,*,*,*,*,829839,,,,,,,
1676837609496,*,*,*,*,1141747,,,,,,,
1676837609716,*,*,*,*,1721048,,,,,,,
1676837609911,*,*,*,*,899196,,,,,,,
1676837610106,*,*,*,*,887231,,,,,,,
1676837610303,*,*,*,*,1687186,,,,,,,
1676837610508,*,*,*,*,906979,,,,,,,
1676837610711,*,*,*,*,865655,,,,,,,
1676837610896,*,*,*,*,1490706,,,,,,,
1676837611110,*,*,*,*,1599714,,,,,,,
1676837611310,*,*,*,*,808438,,,,,,,
1676837611504,*,*,*,*,1035518,,,,,,,
1676837611701,*,*,*,*,2255924,,,,,,,
1676837611911,*,*,*,*,844238,,,,,,,
1676837612111,*,*,*,*,815646,,,,,,,
1676837612296,*,*,*,*,1956929,,,,,,,
1676837612518,*,*,*,*,1175911,,,,,,,
1676837612711,*,*,*,*,819654,,,,,,,
1676837612899,*,*,*,*,1091949,,,,,,,
1676837613121,*,*,*,*,1690397,,,,,,,
1676837613146,*,*,*,*,*,13.3,2.3m,0:00:00,0,46000,77972.82,
1676837613310,*,*,*,*,1198777,,,,,,,
1676837613501,*,*,*,*,2294699,,,,,,,
1676837613696,*,*,*,*,2470773,,,,,,,
1676837613912,*,*,*,*,1089522,,,,,,,
1676837614112,*,*,*,*,812988,,,,,,,
1676837614296,*,*,*,*,1402326,,,,,,,
1676837614507,*,*,*,*,*,12.5,2.3m,0:00:00,0,47000,64148.71,
1676837614515,*,*,*,*,1985077,,,,,,,
1676837614709,*,*,*,*,1244549,,,,,,,
1676837614898,*,*,*,*,2638841,,,,,,,
1676837615110,*,*,*,*,1714429,,,,,,,
1676837615313,*,*,*,*,806187,,,,,,,
1676837615513,*,*,*,*,798184,,,,,,,
1676837615697,*,*,*,*,1813121,,,,,,,
1676837615871,*,*,*,*,*,26.7,2.3m,0:00:00,0,47000,58401.97,
1676837615909,*,*,*,*,1209811,,,,,,,
1676837616120,*,*,*,*,1019931,,,,,,,
1676837616298,*,*,*,*,2307536,,,,,,,
1676837616514,*,*,*,*,1397096,,,,,,,
1676837616713,*,*,*,*,810306,,,,,,,
1676837616907,*,*,*,*,988972,,,,,,,
1676837617098,*,*,*,*,2024383,,,,,,,
1676837617268,*,*,*,*,*,0.0,2.3m,0:00:00,0,45000,4600.50,
1676837617307,*,*,*,*,1086542,,,,,,,
1676837617511,*,*,*,*,1078665,,,,,,,
1676837617696,*,*,*,*,2270926,,,,,,,
1676837617916,*,*,*,*,1161310,,,,,,,
1676837618112,*,*,*,*,829745,,,,,,,
1676837618298,*,*,*,*,1202804,,,,,,,
1676837618506,*,*,*,*,1763645,,,,,,,
1676837618651,*,*,*,*,*,13.3,2.3m,0:00:00,0,46000,96928.60,
1676837618701,*,*,*,*,931038,,,,,,,
1676837618908,*,*,*,*,1741515,,,,,,,
1676837619096,*,*,*,*,2505295,,,,,,,
1676837619315,*,*,*,*,1083952,,,,,,,
1676837619512,*,*,*,*,807257,,,,,,,
1676837619696,*,*,*,*,1323005,,,,,,,
1676837619913,*,*,*,*,1606931,,,,,,,
1676837620013,*,*,*,*,*,26.7,2.3m,0:00:00,0,47000,87920.94,
1676837620107,*,*,*,*,1061371,,,,,,,
1676837620308,*,*,*,*,1420632,,,,,,,
1676837620499,*,*,*,*,2374570,,,,,,,
1676837620713,*,*,*,*,889648,,,,,,,
1676837620914,*,*,*,*,823993,,,,,,,
1676837621096,*,*,*,*,1397915,,,,,,,
1676837621312,*,*,*,*,1434763,,,,,,,
1676837621401,*,*,*,*,*,26.7,2.3m,0:00:00,0,46000,94266.01,
1676837621506,*,*,*,*,1121479,,,,,,,
1676837621704,*,*,*,*,1264717,,,,,,,
1676837621898,*,*,*,*,2403220,,,,,,,
1676837622112,*,*,*,*,898416,,,,,,,
1676837622313,*,*,*,*,808982,,,,,,,
1676837622496,*,*,*,*,1405527,,,,,,,
1676837622712,*,*,*,*,1469384,,,,,,,
1676837622800,*,*,*,*,*,13.3,2.3m,0:00:00,0,68000,92115.35,
1676837622929,*,*,*,*,1637879,,,,,,,
1676837623096,*,*,*,*,2693873,,,,,,,
1676837623307,*,*,*,*,1910309,,,,,,,
1676837623512,*,*,*,*,804278,,,,,,,
1676837623704,*,*,*,*,1103076,,,,,,,
1676837623898,*,*,*,*,2164405,,,,,,,
1676837624121,*,*,*,*,937550,,,,,,,
1676837624144,*,*,*,*,*,33.3,2.3m,0:00:00,0,49000,96118.12,
1676837624344,*,*,*,*,1336550,,,,,,,
1676837624499,*,*,*,*,2200768,,,,,,,
1676837624716,*,*,*,*,1557568,,,,,,,
1676837624912,*,*,*,*,818724,,,,,,,
1676837625103,*,*,*,*,1005374,,,,,,,
1676837625298,*,*,*,*,2223023,,,,,,,
1676837625501,*,*,*,*,*,20.0,2.3m,0:00:00,0,46000,99519.82,
1676837625511,*,*,*,*,970978,,,,,,,
1676837625717,*,*,*,*,949687,,,,,,,
1676837625896,*,*,*,*,2058976,,,,,,,
1676837626111,*,*,*,*,1306094,,,,,,,
1676837626316,*,*,*,*,805062,,,,,,,
1676837626500,*,*,*,*,1079256,,,,,,,
1676837626698,*,*,*,*,2359635,,,,,,,
1676837626877,*,*,*,*,*,26.7,2.3m,0:00:00,0,47000,74112.63,
1676837626911,*,*,*,*,1013430,,,,,,,
1676837627109,*,*,*,*,1485715,,,,,,,
1676837627295,*,*,*,*,2398787,,,,,,,
1676837627512,*,*,*,*,1304028,,,,,,,
1676837627708,*,*,*,*,870860,,,,,,,
1676837627896,*,*,*,*,1613395,,,,,,,
1676837628104,*,*,*,*,1712728,,,,,,,
1676837628242,*,*,*,*,*,33.3,2.3m,0:00:00,0,47000,98369.28,
1676837628300,*,*,*,*,1121534,,,,,,,
1676837628514,*,*,*,*,1132792,,,,,,,
1676837628696,*,*,*,*,2440014,,,,,,,
1676837628912,*,*,*,*,1107208,,,,,,,
1676837629113,*,*,*,*,837515,,,,,,,
1676837629297,*,*,*,*,1343758,,,,,,,
1676837629512,*,*,*,*,1732856,,,,,,,
1676837629649,*,*,*,*,*,18.8,2.3m,0:00:00,0,46000,83217.17,
1676837629700,*,*,*,*,1006965,,,,,,,
1676837629914,*,*,*,*,1087061,,,,,,,
1676837630096,*,*,*,*,2232816,,,,,,,
1676837630313,*,*,*,*,1228783,,,,,,,
1676837630513,*,*,*,*,827189,,,,,,,
1676837630697,*,*,*,*,1182261,,,,,,,
1676837630908,*,*,*,*,1854072,,,,,,,
1676837631040,*,*,*,*,*,33.3,2.3m,0:00:00,0,47000,71688.46,
1676837631101,*,*,*,*,988652,,,,,,,
1676837631312,*,*,*,*,1236773,,,,,,,
1676837631496,*,*,*,*,2396999,,,,,,,
1676837631707,*,*,*,*,1191850,,,,,,,
1676837631913,*,*,*,*,869549,,,,,,,
1676837632096,*,*,*,*,1389900,,,,,,,
1676837632313,*,*,*,*,1485643,,,,,,,
1676837632431,*,*,*,*,*,40.0,2.3m,0:00:00,0,47000,50607.06,
1676837632501,*,*,*,*,1012648,,,,,,,
1676837632710,*,*,*,*,1348096,,,,,,,
1676837632897,*,*,*,*,2620267,,,,,,,
1676837633112,*,*,*,*,866476,,,,,,,
1676837633317,*,*,*,*,811311,,,,,,,
1676837633496,*,*,*,*,1687776,,,,,,,
1676837633710,*,*,*,*,1393058,,,,,,,
1676837633855,*,*,*,*,*,33.3,2.3m,0:00:00,0,48000,98637.59,
1676837633908,*,*,*,*,863307,,,,,,,
1676837634112,*,*,*,*,1181692,,,,,,,
1676837634299,*,*,*,*,2368001,,,,,,,
1676837634514,*,*,*,*,874963,,,,,,,
1676837634710,*,*,*,*,880976,,,,,,,
1676837634896,*,*,*,*,1403642,,,,,,,
1676837635112,*,*,*,*,1563514,,,,,,,
1676837635226,*,*,*,*,*,40.0,2.3m,0:00:00,0,47000,94903.30,
1676837635302,*,*,*,*,1043606,,,,,,,
1676837635504,*,*,*,*,1398743,,,,,,,
1676837635697,*,*,*,*,2487168,,,,,,,
1676837635911,*,*,*,*,1138878,,,,,,,
1676837636114,*,*,*,*,801793,,,,,,,
1676837636296,*,*,*,*,1505361,,,,,,,
1676837636513,*,*,*,*,1401922,,,,,,,
1676837636599,*,*,*,*,*,26.7,2.3m,0:00:00,0,47000,81662.69,
1676837636703,*,*,*,*,1122666,,,,,,,
1676837636908,*,*,*,*,1193384,,,,,,,
1676837637099,*,*,*,*,2406077,,,,,,,
1676837637311,*,*,*,*,906084,,,,,,,
1676837637512,*,*,*,*,816516,,,,,,,
1676837637696,*,*,*,*,1415453,,,,,,,
1676837637918,*,*,*,*,1372924,,,,,,,
1676837638006,*,*,*,*,*,40.0,2.3m,0:00:00,0,46000,69628.10,
1676837638099,*,*,*,*,1187571,,,,,,,
1676837638304,*,*,*,*,1346798,,,,,,,
1676837638498,*,*,*,*,2438581,,,,,,,
1676837638710,*,*,*,*,933203,,,,,,,
1676837638911,*,*,*,*,897654,,,,,,,
1676837639095,*,*,*,*,1410945,,,,,,,
1676837639314,*,*,*,*,1155642,,,,,,,
1676837639392,*,*,*,*,*,33.3,2.3m,0:00:00,0,46000,101203.23,
1676837639508,*,*,*,*,1077094,,,,,,,
